sender,receiver,amount,date,country
Alice Corp,Bob Industries,15000,2024-01-15,USA
Bob Industries,Charlie Ltd,14500,2024-01-16,USA
Charlie Ltd,Alice Corp,14000,2024-01-17,USA
Delta Holdings,Echo Ventures,50000,2024-01-18,UK
Echo Ventures,Foxtrot Inc,49500,2024-01-19,UK
Global Trade,Hotel Services,25000,2024-01-20,Singapore
India Exports,Juliet Imports,30000,2024-01-21,India
Kilo Corp,Lima LLC,100000,2024-01-22,Switzerland
Lima LLC,Mike Industries,5000,2024-01-23,Switzerland
November Co,Oscar Partners,75000,2024-01-24,UAE
Papa Trading,Quebec Ltd,20000,2024-01-25,Canada
Romeo Enterprises,Sierra Corp,15000,2024-01-26,USA
Sierra Corp,Tango Holdings,14800,2024-01-27,USA
Tango Holdings,Romeo Enterprises,14500,2024-01-28,USA
Uniform Inc,Victor LLC,500000,2024-01-29,Cayman Islands
Whiskey Corp,Xray Industries,8000,2024-01-30,Germany
Yankee Ltd,Zulu Partners,12000,2024-02-01,France
Alpha Shell,Bravo Shell,100000,2024-02-02,Panama
Bravo Shell,Charlie Shell,99000,2024-02-03,Panama
Charlie Shell,Delta Shell,98000,2024-02-04,Panama
Delta Shell,Alpha Shell,97000,2024-02-05,Panama
Echo Trading,Foxtrot Trading,45000,2024-02-06,Hong Kong
Golf Imports,Hotel Exports,35000,2024-02-07,China
India Finance,Juliet Finance,28000,2024-02-08,India
Kilo Ventures,Lima Ventures,15000,2024-02-09,Singapore
Mike Corp,November Corp,22000,2024-02-10,Japan
Oscar LLC,Papa LLC,18000,2024-02-11,South Korea
Quebec Industries,Romeo Industries,31000,2024-02-12,Mexico
Sierra Trading,Tango Trading,27000,2024-02-13,Brazil
Uniform Exports,Victor Exports,42000,2024-02-14,Argentina
Whiskey Holdings,Xray Holdings,19000,2024-02-15,Chile
Yankee Partners,Zulu Partners,16000,2024-02-16,Peru
Alpha Industries,Bravo Industries,55000,2024-02-17,Colombia
Charlie Ventures,Delta Ventures,38000,2024-02-18,Venezuela
Echo Corp,Foxtrot Corp,29000,2024-02-19,Ecuador
Golf LLC,Hotel LLC,21000,2024-02-20,Bolivia
India Trading,Juliet Trading,17000,2024-02-21,Paraguay
Kilo Holdings,Lima Holdings,14000,2024-02-22,Uruguay
Mike Partners,November Partners,11000,2024-02-23,Guyana
Oscar Exports,Papa Exports,9000,2024-02-24,Suriname
Quebec Corp,Romeo Corp,7500,2024-02-25,French Guiana
Sierra Ventures,Tango Ventures,6500,2024-02-26,Belize
Uniform Trading,Victor Trading,5500,2024-02-27,Costa Rica
Whiskey Industries,Xray Industries,4500,2024-02-28,Nicaragua
